t_neural:float ms,t_physics:float s,frame_id:int,spike_count:int,moose_pos:float[3],hit_bool:int
0.0,0.0,0,3,12.0000;0.0000;0.2000,0
33.33,0.03333,1,4,11.9101;0.0000;0.2000,0
66.66,0.06666,2,3,11.8202;0.0000;0.2000,0
99.99,0.09999,3,3,11.7303;0.0000;0.2000,0
133.32,0.13332,4,4,11.6404;0.0000;0.2000,0
166.65,0.16665,5,3,11.5506;0.0000;0.2000,0
199.98,0.19998,6,3,11.4607;0.0000;0.2000,0
233.31,0.23331,7,4,11.3708;0.0000;0.2000,0
266.64,0.26664,8,3,11.2809;0.0000;0.2000,0
299.97,0.29997,9,3,11.1910;0.0000;0.2000,0
333.3,0.3333,10,4,11.1011;0.0000;0.2000,0
366.63,0.36663,11,3,11.0112;0.0000;0.2000,0
399.96,0.39996,12,3,10.9213;0.0000;0.2000,0
433.29,0.43329,13,4,10.8315;0.0000;0.2000,0
466.62,0.46662,14,3,10.7416;0.0000;0.2000,0
499.95,0.49995,15,3,10.6517;0.0000;0.2000,0
533.28,0.53328,16,4,10.5618;0.0000;0.2000,0
566.61,0.56661,17,3,10.4719;0.0000;0.2000,0
599.94,0.59994,18,3,10.3820;0.0000;0.2000,0
633.27,0.63327,19,4,10.2921;0.0000;0.2000,0
666.6,0.6666,20,3,10.2022;0.0000;0.2000,0
699.93,0.69993,21,3,10.1124;0.0000;0.2000,0
733.26,0.73326,22,4,10.0225;0.0000;0.2000,0
766.59,0.76659,23,3,9.9326;0.0000;0.2000,0
799.92,0.79992,24,3,9.8427;0.0000;0.2000,0
833.25,0.83325,25,4,9.7528;0.0000;0.2000,0
866.58,0.86658,26,3,9.6629;0.0000;0.2000,0
899.91,0.89991,27,3,9.5730;0.0000;0.2000,0
933.24,0.93324,28,4,9.4831;0.0000;0.2000,0
966.57,0.96657,29,3,9.3933;0.0000;0.2000,0
999.9,0.9999,30,24,9.3034;0.0000;0.2000,1
1033.23,1.03323,31,4,9.2135;0.0000;0.2000,0
1066.56,1.06656,32,3,9.1236;0.0000;0.2000,0
1099.89,1.09989,33,3,9.0337;0.0000;0.2000,0
1133.22,1.13322,34,4,8.9438;0.0000;0.2000,0
1166.55,1.16655,35,3,8.8539;0.0000;0.2000,0
1199.88,1.19988,36,3,8.7640;0.0000;0.2000,0
1233.21,1.23321,37,4,8.6742;0.0000;0.2000,0
1266.54,1.26654,38,3,8.5843;0.0000;0.2000,0
1299.87,1.29987,39,3,8.4944;0.0000;0.2000,0
1333.2,1.3332,40,4,8.4045;0.0000;0.2000,0
1366.53,1.36653,41,3,8.3146;0.0000;0.2000,0
1399.86,1.39986,42,3,8.2247;0.0000;0.2000,0
1433.19,1.43319,43,4,8.1348;0.0000;0.2000,0
1466.52,1.46652,44,3,8.0449;0.0000;0.2000,0
1499.85,1.49985,45,3,7.9551;0.0000;0.2000,0
1533.18,1.53318,46,4,7.8652;0.0000;0.2000,0
1566.51,1.56651,47,3,7.7753;0.0000;0.2000,0
1599.84,1.59984,48,3,7.6854;0.0000;0.2000,0
1633.17,1.63317,49,4,7.5955;0.0000;0.2000,0
1666.5,1.6665,50,3,7.5056;0.0000;0.2000,0
1699.83,1.69983,51,3,7.4157;0.0000;0.2000,0
1733.16,1.73316,52,4,7.3258;0.0000;0.2000,0
1766.49,1.76649,53,3,7.2360;0.0000;0.2000,0
1799.82,1.79982,54,3,7.1461;0.0000;0.2000,0
1833.15,1.83315,55,4,7.0562;0.0000;0.2000,0
