t_neural:float ms,t_physics:float s,frame_id:int,spike_count:int,moose_pos:float[3],hit_bool:int
0.0,0.0,0,3253,12.0000;0.0000;0.2000,1
33.33,0.03333,1,4415,11.9732;0.0000;0.2000,0
66.66,0.06666,2,3195,11.9465;0.0000;0.2000,0
99.99,0.09999,3,3370,11.9197;0.0000;0.2000,0
133.32,0.13332,4,4314,11.8930;0.0000;0.2000,0
166.65,0.16665,5,3283,11.8662;0.0000;0.2000,0
199.98,0.19998,6,3354,11.8395;0.0000;0.2000,0
233.31,0.23331,7,4445,11.8127;0.0000;0.2000,0
266.64,0.26664,8,3372,11.7860;0.0000;0.2000,0
299.97,0.29997,9,3263,11.7592;0.0000;0.2000,0
333.3,0.3333,10,4330,11.7324;0.0000;0.2000,0
366.63,0.36663,11,3198,11.7057;0.0000;0.2000,0
399.96,0.39996,12,3276,11.6789;0.0000;0.2000,0
433.29,0.43329,13,4460,11.6522;0.0000;0.2000,0
466.62,0.46662,14,3302,11.6254;0.0000;0.2000,0
499.95,0.49995,15,3285,11.5987;0.0000;0.2000,0
533.28,0.53328,16,4486,11.5719;0.0000;0.2000,0
566.61,0.56661,17,3352,11.5452;0.0000;0.2000,0
599.94,0.59994,18,3313,11.5184;0.0000;0.2000,0
633.27,0.63327,19,4395,11.4916;0.0000;0.2000,1
666.6,0.6666,20,3238,11.4649;0.0000;0.2000,0
699.93,0.69993,21,3190,11.4381;0.0000;0.2000,0
733.26,0.73326,22,4366,11.4114;0.0000;0.2000,0
766.59,0.76659,23,3255,11.3846;0.0000;0.2000,0
799.92,0.79992,24,3314,11.3579;0.0000;0.2000,0
833.25,0.83325,25,4295,11.3311;0.0000;0.2000,0
866.58,0.86658,26,3265,11.3043;0.0000;0.2000,0
899.91,0.89991,27,3296,11.2776;0.0000;0.2000,0
933.24,0.93324,28,4403,11.2508;0.0000;0.2000,0
966.57,0.96657,29,3256,11.2241;0.0000;0.2000,0
999.9,0.9999,30,23388,11.1973;0.0000;0.2000,0
1033.23,1.03323,31,30782,11.1706;0.0000;0.2000,0
1066.56,1.06656,32,3320,11.1438;0.0000;0.2000,0
